区域,地址,标题,户型,面积,价格,楼层,建造时间,朝向,更新时间,看房人数,备注,链接地址
宣武门租房,庄胜二期,精装修 西南向三居室 集中供暖 24小时热水,3室2厅,146平米,23000,低楼层(共12层),2004年建板塔结合,西南,2017.07.24,4, 距离2号线和平门站536米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101833031.html
科技园区租房,怡海花园富泽园,怡海花园富泽园两居室 家具家电全齐 可短租 看房随时,2室2厅,101平米,6000,中楼层(共7层),1998年建板楼,南 西,2017.07.23,1, 距离9号线科怡路站416米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101833114.html
天通苑租房,天通苑中苑,中苑电梯精装修，眼睛房，两个卧室朝南,3室2厅,171平米,9000,中楼层(共10层),2008年建板楼,南 北,2017.07.25,1, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101833298.html
滨河西区租房,含晖苑,含晖苑三居室面积大适合一家人居住小区环境好交通便利,3室2厅,134平米,5000,中楼层(共6层),2007年建板楼,南 北,2017.07.21,5, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101833372.html
天通苑租房,天通苑北一区,北一区东西通透精装修两居室近地铁,2室1厅,114平米,5800,中楼层(共17层),2004年建板楼,东 西,2017.07.23,5, 距离5号线天通苑站646米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101833432.html
良乡租房,金地朗悦朗园,金地朗悦 精装修西南北户型  自主标准,3室1厅,96平米,3200,高楼层(共11层),2011年建板塔结合,西南 北,2017.07.21,3, 距离房山线良乡大学城北站1049米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101833437.html
黄村北租房,金地仰山,大兴黄村高米店金地仰山精装南北通透2居，随时可看,2室1厅,89平米,5000,低楼层(共18层),2012年建板楼,南 北,2017.07.23,5, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101834306.html
工体租房,幸福二村,二村南向两居室随时看随时入住诚意出租,2室1厅,52平米,6200,高楼层(共6层),1980年建板楼,南,2017.07.24,2, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101831581.html
公主坟租房,柳林馆,柳林馆两居 生活便利 交通方便,2室1厅,62平米,5800,中楼层(共16层),1985年建塔楼,南 北,2017.07.17,5, 距离1号线公主坟站418米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101806973.html
百子湾租房,百子湾家园三区,此房是2006年北京建工集团建设，物业为建工物业,2室1厅,95平米,7700,中楼层(共18层),2006年建板塔结合,南 北,2017.07.26,4, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101807361.html
苏州桥租房,万泉河62号院,配套齐全，交通出行方便，苏州街地铁口,2室1厅,85平米,8500,高楼层(共6层),1995年建板楼,东 南,2017.07.21,4, 距离10号线苏州街站492米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101814211.html
枣园租房,康颐园,大兴黄村康颐园复式出租家具家电可配齐有钥匙,2室1厅,87平米,4000,高楼层(共7层),2000年建板楼,南 西,2017.07.22,2, 距离4号线高米店南站341米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101814434.html
乔庄租房,玉桥北里,正规的三居室，业主刚刚收拾好房子，很干净,3室1厅,72平米,3200,高楼层(共6层),1992年建板楼,南 北,2017.07.21,1, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101814739.html
CBD租房,和乔丽致公寓,禾乔丽致公寓 诚意出租 看房随时 有钥匙,1室1厅,61平米,11000,中楼层(共16层),2004年建塔楼,西,2017.07.15,3, 距离1号线大望路站703米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101815482.html
乔庄租房,运乔嘉园,运乔嘉园电梯两居室近地铁拎包入住,2室1厅,123平米,4100,中楼层(共11层),2003年建板塔结合,南 北,2017.07.27,3, 随时看房 自供暖,https://bj.lianjia.com/zufang/101101817466.html
鼓楼大街租房,金隅万科城,万科三期精装三居，家电齐全，楼层高，有电梯,3室1厅,111平米,5500,高楼层(共14层),2012年建板塔结合,南 北,2017.07.26,1, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101817908.html
大望路租房,后现代城,后现代城  精装两居室 有钥匙  随时可看拎包入住,2室2厅,94平米,9000,中楼层(共28层),2005年建塔楼,西北,2017.07.26,4, 距离7号线大郊亭站971米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101818010.html
CBD租房,盛世嘉园,盛世嘉园复式两居   可改三居室  有钥匙 看房随时,2室2厅,161平米,16000,中楼层(共18层),2000年建塔楼,南,2017.07.27,1, 距离1号线大望路站731米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101818383.html
豆各庄租房,富力又一城C区,房子保持较好 纯东向两居室 家具家电全齐 ,2室1厅,85平米,5500,中楼层(共23层),2011年建塔楼,东,2017.07.27,3, 随时看房 精装修 自供暖,https://bj.lianjia.com/zufang/101101818954.html
长阳租房,加州水郡三期,加州水郡三期 精装两居空房 有钥匙 位置好 随时能看,2室1厅,85平米,3100,低楼层(共10层),2009年建板塔结合,南 北,2017.07.26,3, 随时看房 精装修 自供暖,https://bj.lianjia.com/zufang/101101821166.html
安贞租房,国典华园,10号线安贞门站 优质精装南北两居 家电家具齐 有钥匙,2室1厅,103平米,12000,中楼层(共17层),2005年建塔楼,东 南 北,2017.07.26,3, 距离10号线安贞门站563米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101821591.html
西红门租房,月桂庄园,西红门南北两居室，别墅区小两居，有钥匙看房方便,2室1厅,69平米,4200,高楼层(共5层),2002年建板楼,南 北,2017.07.26,3, 距离4号线西红门站866米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101822337.html
亚运村小营租房,光大名筑,精装两居，大屯路东和惠新西街北口地铁站,2室1厅,95平米,9500,低楼层(共18层),2004年建板塔结合,南,2017.07.21,3, 距离5号线惠新西街北口站1102米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101835535.html
北苑租房,天怡家园,精装三居室，业主诚意出租，家具家电可给配齐,3室2厅,130平米,9000,低楼层(共20层),2005年建塔楼,西南,2017.07.22,3, 距离5号线立水桥南站609米 随时看房 自供暖,https://bj.lianjia.com/zufang/101101835645.html
奥林匹克公园租房,澳林春天四期,澳林春天四期 2室1厅 13000元,2室1厅,131平米,13000,高楼层(共12层),2004年建板楼,南 北,2017.07.25,4, 距离8号线林萃桥站1153米 随时看房 自供暖,https://bj.lianjia.com/zufang/101101836767.html
玉泉路租房,玉海园二里,玉海园二里 2室1厅 6000元,2室1厅,78平米,6000,中楼层(共10层),1998年建板塔结合,东南,2017.07.26,1, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101836907.html
黄村北租房,金地仰山,大兴黄村高米店金地仰山精装南北通透2居，随时可看,2室1厅,89平米,5000,低楼层(共18层),2012年建板楼,南 北,2017.07.23,5, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101834306.html
鼓楼大街租房,南环里,南环里 三居室 客厅和卧室面积都很大 全明格局 ,3室1厅,119平米,3700,中楼层(共6层),2001年建板楼,南 北,2017.07.23,2, 距离昌平线昌平站1166米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101832774.html
宣武门租房,庄胜二期,精装修 西南向三居室 集中供暖 24小时热水,3室2厅,146平米,23000,低楼层(共12层),2004年建板塔结合,西南,2017.07.24,4, 距离2号线和平门站536米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101833031.html
科技园区租房,怡海花园富泽园,怡海花园富泽园两居室 家具家电全齐 可短租 看房随时,2室2厅,101平米,6000,中楼层(共7层),1998年建板楼,南 西,2017.07.23,1, 距离9号线科怡路站416米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101833114.html
天通苑租房,天通苑中苑,中苑电梯精装修，眼睛房，两个卧室朝南,3室2厅,171平米,9000,中楼层(共10层),2008年建板楼,南 北,2017.07.25,1, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101833298.html
滨河西区租房,含晖苑,含晖苑三居室面积大适合一家人居住小区环境好交通便利,3室2厅,134平米,5000,中楼层(共6层),2007年建板楼,南 北,2017.07.21,5, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101833372.html
天通苑租房,天通苑北一区,北一区东西通透精装修两居室近地铁,2室1厅,114平米,5800,中楼层(共17层),2004年建板楼,东 西,2017.07.23,5, 距离5号线天通苑站646米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101833432.html
良乡租房,金地朗悦朗园,金地朗悦 精装修西南北户型  自主标准,3室1厅,96平米,3200,高楼层(共11层),2011年建板塔结合,西南 北,2017.07.21,3, 距离房山线良乡大学城北站1049米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101833437.html
高碑店租房,兴隆家园,兴隆家园 2室1厅 7000元,2室1厅,97平米,7000,中楼层(共23层),2005年建塔楼,西南,2017.07.25,3, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101837837.html
亚运村小营租房,育慧里一区,育慧里一区 两居室改三居 户型方正,2室1厅,89平米,8000,低楼层(共19层),1999年建塔楼,西,2017.07.17,5, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101820268.html
望京租房,上京新航线,上京南北通透三居 看房有钥匙 精装修 家具家电齐全,3室2厅,135平米,13500,高楼层(共26层),2007年建板塔结合,南 北,2017.07.27,1, 距离14号线(东段)东湖渠站570米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101852086.html
小西天租房,北三环中路34号院,北师大北太平庄二居室双南向 看房有钥匙东西齐拎包住,2室1厅,66平米,6400,中楼层(共4层),1956年建板楼,南,2017.07.27,1, 随时看房 精装修,https://bj.lianjia.com/zufang/101101855625.html
清河租房,观林园,观林园 2室2厅 7500元,2室2厅,110平米,7500,低楼层(共6层),2011年建板楼,南 北,2017.07.25,2, 随时看房 自供暖,https://bj.lianjia.com/zufang/101101850789.html
广安门租房,手帕口北街,手帕口北街两居室，南北通透，价格低,2室1厅,50平米,4800,高楼层(共5层),1974年建板楼,南 北,2017.07.23,6, 距离7号线达官营站552米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101846218.html
天通苑租房,太平家园,太平家园东西朝向两居室采光好格局方正,2室2厅,91平米,5000,中楼层(共6层),2000年建板楼,东 西,2017.07.27,2, 距离5号线天通苑南站1046米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101859441.html
工体租房,幸福二村,二村南向两居室随时看随时入住诚意出租,2室1厅,52平米,6200,高楼层(共6层),1980年建板楼,南,2017.07.24,2, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101831581.html
亚运村小营租房,育慧里一区,育慧里一区 两居室改三居 户型方正,2室1厅,89平米,8000,低楼层(共19层),1999年建塔楼,西,2017.07.17,5, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101820268.html
酒仙桥租房,亮马嘉园,亮马嘉园 精装东西两居室 随时入住,2室1厅,89平米,8000,高楼层(共18层),2003年建板塔结合,东南 西,2017.07.18,6, 距离14号线(东段)东风北桥站1169米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101806226.html
望京租房,上京新航线,上京南北通透三居 看房有钥匙 精装修 家具家电齐全,3室2厅,135平米,13500,高楼层(共26层),2007年建板塔结合,南 北,2017.07.27,1, 距离14号线(东段)东湖渠站570米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101852086.html
广安门租房,手帕口北街,手帕口北街两居室，南北通透，价格低,2室1厅,50平米,4800,高楼层(共5层),1974年建板楼,南 北,2017.07.23,6, 距离7号线达官营站552米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101846218.html
六里桥租房,国际,澐澐国际 西向一居 户型方正 精装修 ,1室1厅,101平米,6300,低楼层(共26层),2008年建塔楼,西,2017.07.23,4, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101808618.html
望京租房,望京明苑,望京明苑，东南向大两居，卧室客厅有大阳台,2室1厅,113平米,8800,中楼层(共28层),2001年建塔楼,东南,2017.07.22,4, 距离14号线(东段)东湖渠站647米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101814301.html
甘家口租房,增光路43号院,增光路南北两居室，楼层适宜，老少皆宜,2室1厅,61平米,6200,低楼层(共6层),1985年建板楼,南 北,2017.07.26,4, 距离6号线白石桥南站926米 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101862263.html
回龙观租房,龙回苑,龙回苑精装3居锁1居，自采暖，近地铁,3室1厅,126平米,5600,中楼层(共7层),2004年建板楼,南 北,2017.07.27,2, 距离8号线平西府站707米 随时看房 精装修 自供暖,https://bj.lianjia.com/zufang/101101832710.html
长阳租房,原香小镇二区,房山区原香小镇二区，两居，精装修。,2室1厅,86平米,2800,低楼层(共6层),2010年建板楼,南 北,2017.07.23,3, 随时看房 精装修 自供暖,https://bj.lianjia.com/zufang/101101837957.html
良乡租房,西潞东里社区,西潞东里社区 3室1厅 3300元,3室1厅,98平米,3300,中楼层(共5层),1999年建,南 北,2017.07.27,2, 随时看房 精装修,https://bj.lianjia.com/zufang/101101801612.html
月坛租房,南礼士路头条7号院,月坛一居室+南礼士路地铁+业主诚租,1室1厅,41平米,5500,低楼层(共6层),1985年建板楼,南,2017.07.24,4, 距离1号线南礼士路站505米 随时看房,https://bj.lianjia.com/zufang/101101831016.html
回龙观租房,北郊农场宿舍,北郊农场宿舍二层精装修两居室，看房提前预约,2室1厅,65平米,4500,高楼层(共4层),1988年建板楼,南 北,2017.07.26,6, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101844274.html
北七家租房,北亚花园,北亚花园 三居室 可拎包入住 楼层适中,3室1厅,108平米,4000,中楼层(共6层),1999年建板楼,南 北,2017.07.27,4, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101816499.html
百子湾租房,百子湾家园三区,房子中间楼层，采光好 无遮挡 看房方便,2室1厅,103平米,7600,低楼层(共20层),2006年建板塔结合,南,2017.07.27,2, 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101807660.html
军博租房,铁医路1号院,铁医路精装两居室+楼龄新楼层低不用爬楼梯,2室1厅,91平米,10500,低楼层(共6层),1998年建板楼,南 北,2017.07.26,5, 距离9号线北京西站站799米 随时看房 精装修 集中供暖,https://bj.lianjia.com/zufang/101101809705.html
顺义城租房,裕龙三区,裕龙三区 2室1厅 4200元,2室1厅,96平米,4200,中楼层(共22层),2008年建板塔结合,南 北,2017.07.26,2, 随时看房 集中供暖,https://bj.lianjia.com/zufang/101101848827.html
